sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
CR Nature FD,"=ROUNDUP(IF((+CELL-SUM(CELL:CELL)-SUM(CELL:CELL))<0,CELL*5/1000+320000,(+CELL-SUM(CELL:CELL)-SUM(CELL:CELL))*0.2),-3)",2,N28,"=ROUNDUP(IF((+O39-SUM(O42:O46)-SUM(O51:O57))<0,O39*5/1000+320000,(+O39-SUM(O42:O46)-SUM(O51:O57))*0.2),-3)",,,TO_REVIEW
Invest FD,=+CELL*0.25/12,2,C17,=+C7*0.25/12,,,TO_REVIEW
AN,=+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,2,C158,=+C156+C150+C143+C136+C122+C116+C109+C103+C97+C91+C85+C83+C76+C69,,,TO_REVIEW
AN,=+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,2,C215,=+C213+C207+C205+C199+C193+C187+C181+C175+C169,,,TO_REVIEW
AN,"=""TOTAL""&CELL",2,B249,"=""TOTAL   ""&B234",,,TO_REVIEW
Détails FF FD,=+CELL-'EMPRUNTSFD'!CELL,2,P7,=+O7-'Emprunts FD'!G110,,,TO_REVIEW
FORT DAUPHIN,=4200/30,1,B2,=4200/30,,,TO_REVIEW
FORT DAUPHIN,"=SUBTOTAL(3,CELL:CELL)",1,D5,"=SUBTOTAL(3,D7:D135)",,,TO_REVIEW
FORT DAUPHIN,"=""MATRICULE""",1,A6,"=""Matricule""",,,TO_REVIEW
FORT DAUPHIN,"=""NOM""",1,B6,"=""NOM""",,,TO_REVIEW
FORT DAUPHIN,"=""PRENOMS""",1,C6,"=""PRENOMS""",,,TO_REVIEW
FORT DAUPHIN,"=""FONCTION""",1,D6,"=""FONCTION""",,,TO_REVIEW
FORT DAUPHIN,"=""ENTREE""",1,E6,"=""entree""",,,TO_REVIEW
FORT DAUPHIN,"=""CAT""",1,F6,"=""CAT""",,,TO_REVIEW
FORT DAUPHIN,"=""BASE""",1,G6,"=""Base""",,,TO_REVIEW
FORT DAUPHIN,"=""ALLOCATIONDECONGES""",1,H6,"=""ALLOCATION DE CONGES""",,,TO_REVIEW
FORT DAUPHIN,"=""HEURESSUPP""",1,I6,"=""HEURES SUPP""",,,TO_REVIEW
FORT DAUPHIN,"=""NBRES""",1,J6,"=""NBRES""",,,TO_REVIEW
FORT DAUPHIN,"=""ABSENCE""",1,K6,"=""ABSENCE""",,,TO_REVIEW
FORT DAUPHIN,"=""PREAVIS(RETENUE)""",1,L6,"=""PREAVIS (retenue)""",,,TO_REVIEW
FORT DAUPHIN,"=""INDEMNITE""",1,M6,"=""INDEMNITE""",,,TO_REVIEW
FORT DAUPHIN,"=""BRUT""",1,N6,"=""BRUT""",,,TO_REVIEW
FORT DAUPHIN,"=""IRSA""",1,O6,"=""IRSA""",,,TO_REVIEW
FORT DAUPHIN,"=""RETCNAPS""",1,P6,"=""RET CNAPS""",,,TO_REVIEW
FORT DAUPHIN,"=""RETOSTIE""",1,Q6,"=""RET OSTIE""",,,TO_REVIEW
FORT DAUPHIN,"=""AVANCES""",1,R6,"=""AVANCES""",,,TO_REVIEW
FORT DAUPHIN,"=""ANCARR""",1,S6,"=""ANC ARR""",,,TO_REVIEW
FORT DAUPHIN,"=""NOUVARR""",1,T6,"=""NOUV ARR""",,,TO_REVIEW
FORT DAUPHIN,"=""NETAPAYER""",1,U6,"=""NET A PAYER""",,,TO_REVIEW
FORT DAUPHIN,"=""UNITE""",1,V6,"=""UNITE""",,,TO_REVIEW
FORT DAUPHIN,"=""SERVICE""",1,W6,"=""SERVICE""",,,TO_REVIEW
FORT DAUPHIN,"=""INTITULÉÉTABLISSEMENT""",1,X6,"=""Intitulé établissement""",,,TO_REVIEW
FORT DAUPHIN,"=""MODEDEPAIEMENT""",1,Y6,"=""MODE DE PAIEMENT""",,,TO_REVIEW
FORT DAUPHIN,=COUNTA(CELL:CELL),1,I247,=COUNTA(I218:I244),,,TO_REVIEW
FORT DAUPHIN,=+'RECAPCOUPEUSESFD'!CELL,1,C248,=+'Recap coupeuses FD'!M11,,,TO_REVIEW
Données SOMIDA,"=+ROUND(CELL*CELL,1)",1,L20,"=+ROUND(L60*D59,1)",,,TO_REVIEW
Données SOMIDA,"=ROUND(+CELL/CELL,1)",1,L60,"=ROUND(+L48/$D$58,1)",,,TO_REVIEW
Données SOMIDA,=100%-CELL-CELL-CELL,1,D65,=100%-D62-D63-D64,,,TO_REVIEW
Données SOMIDA,=+CELL-CELL-CELL-CELL,1,L65,=+L60-L62-L63-L64,,,TO_REVIEW
Données SOMIDA,=12*28,1,K77,=12*28,,,TO_REVIEW
Données SOMIDA,=10*25,1,K78,=10*25,,,TO_REVIEW
Données SOMIDA,=+CELL*0.1,1,L85,=+L67*0.1,,,TO_REVIEW
Données SOMIDA,=4*28,1,J114,=4*28,,,TO_REVIEW
Stat,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0X0000026CDD5AF9D0>,1,Y4,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDD5AF9D0>,,,TO_REVIEW
Stat,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0X0000026CDC065BD0>,1,Z4,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDC065BD0>,,,TO_REVIEW
Stat,"=CELL&""""&""KG""",1,Y18,"=Y16&"""" &""Kg""",,,TO_REVIEW
Org,=+CELL*2.5,1,K134,=+K133*2.5,,,TO_REVIEW
Org,=+CELL*1.5,1,K135,=+K133*1.5,,,TO_REVIEW
Org,=+CELL*15,1,K136,=+K133*15,,,TO_REVIEW
Org,=+CELL*10,1,K137,=+K133*10,,,TO_REVIEW
 OKB TRA ABR,=(100*CELL)/80,1,B2,=(100*B3)/80,,,TO_REVIEW
 OKB TRA ABR,=(CELL*1000)/50,1,D3,=(B3*1000)/50,,,TO_REVIEW
 OKB TRA ABR,=CELL/20,1,B4,=B3/20,,,TO_REVIEW
 OKB TRA ABR,=CELL*CELL*CELL,1,B9,=B6*B7*B8,,,TO_REVIEW
 OKB TRA ABR,=(CELL*1000)-45000,1,C15,=($B$2*1000)-45000,,,TO_REVIEW
 OKB TRA ABR,=CELL*1000,1,C16,=$B$3*1000,,,TO_REVIEW
 OKB TRA ABR,=70000*2,1,B25,=70000*2,,,TO_REVIEW
 OKB TRA ABR,=CELL*3,1,C27,=$B$6*3,,,TO_REVIEW
 OKB TRA ABR,=13*8,1,C28,=13*8,,,TO_REVIEW
 OKB TRA ABR,=(CELL/50)+(CELL/50)*5%,1,C35,=(C16/50)+(C16/50)*5%,,,TO_REVIEW
 OKB TRA ABR,=CELL+CELL+CELL+CELL+CELL,1,B41,=E17+E38+E31+E39+E40,,,TO_REVIEW
OKB FP1,=(100*CELL)/80,1,B2,=(100*B3)/80,,,TO_REVIEW
OKB FP1,=(CELL*1000)/50,1,D3,=(B3*1000)/50,,,TO_REVIEW
OKB FP1,=CELL/20,1,B4,=B3/20,,,TO_REVIEW
OKB FP1,=CELL*CELL*CELL,1,B10,=B7*B8*B9,,,TO_REVIEW
OKB FP1,=(CELL*1000),1,C16,=($B$2*1000),,,TO_REVIEW
OKB FP1,=CELL*1000,1,C17,=$B$3*1000,,,TO_REVIEW
OKB FP1,=340*6,1,C18,=340*6,,,TO_REVIEW
OKB FP1,=70000*2,1,B27,=70000*2,,,TO_REVIEW
OKB FP1,=CELL*3,1,C29,=$B$7*3,,,TO_REVIEW
OKB FP1,=13*3,1,C30,=13*3,,,TO_REVIEW
OKB FP1,=(CELL/50)+(CELL/50)*5%,1,C37,=(C17/50)+(C17/50)*5%,,,TO_REVIEW
OKB FP1,=CELL+CELL+CELL+CELL+CELL,1,B43,=E19+E40+E33+E41+E42,,,TO_REVIEW
Goodeis,=(100*CELL)/80,1,B2,=(100*B3)/80,,,TO_REVIEW
Goodeis,=28*3,1,B6,=28*3,,,TO_REVIEW
Goodeis,=70000*2,1,I33,=70000*2,,,TO_REVIEW
Goodeis,=CELL*3,1,J35,=B3*3,,,TO_REVIEW
Goodeis,=CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL+CELL,1,I39,=L30+L31+L32+L33+L34+L35+L36+L37+L38,,,TO_REVIEW
Goodeis,=(3239*CELL)+120000,1,I45,=(3239*B11)+120000,,,TO_REVIEW
Goodeis,=5500000-2100000,1,B52,=5500000-2100000,,,TO_REVIEW
Goodeis,=989*4250,1,B53,=989*4250,,,TO_REVIEW
Goodeis,=CELL/4500,1,F58,=E58/4500,,,TO_REVIEW
Org (2),=+CELL*2.5,1,K242,=+K241*2.5,,,TO_REVIEW
Org (2),=+CELL*1.5,1,K243,=+K241*1.5,,,TO_REVIEW
Org (2),=+CELL*15,1,K244,=+K241*15,,,TO_REVIEW
Org (2),=+CELL*10,1,K245,=+K241*10,,,TO_REVIEW
Organigramme,=+'FORTDAUPHIN'!CELL,1,H7,=+'FORT DAUPHIN'!B108,,,TO_REVIEW
Organigramme,"=+'FORTDAUPHIN'!CELL&""""&'FORTDAUPHIN'!CELL",1,H19,"=+'FORT DAUPHIN'!B109&"" ""&'FORT DAUPHIN'!C109",,,TO_REVIEW
Recap coupeuses FD,=TODAY(),1,O3,=TODAY(),,,TO_REVIEW
Recap coupeuses FD,='RECAPCOUPEUSESFD'!CELL+CELL,1,M8,='Recap coupeuses FD'!D8+F8,,,TO_REVIEW
AMPANDRANDAVA,"=""MATRICULE""",1,A1,"=""Matricule""",,,TO_REVIEW
AMPANDRANDAVA,"=""NOM""",1,B1,"=""NOM""",,,TO_REVIEW
AMPANDRANDAVA,"=""PRENOMS""",1,C1,"=""PRENOMS""",,,TO_REVIEW
AMPANDRANDAVA,"=""FONCTION""",1,D1,"=""FONCTION""",,,TO_REVIEW
AMPANDRANDAVA,"=""ENTREE""",1,E1,"=""entree""",,,TO_REVIEW
AMPANDRANDAVA,"=""CAT""",1,F1,"=""CAT""",,,TO_REVIEW
AMPANDRANDAVA,"=""BASE""",1,G1,"=""Base""",,,TO_REVIEW
AMPANDRANDAVA,"=""ALLOCATIONDECONGES""",1,H1,"=""ALLOCATION DE CONGES""",,,TO_REVIEW
AMPANDRANDAVA,"=""HEURESSUPP""",1,I1,"=""HEURES SUPP""",,,TO_REVIEW
AMPANDRANDAVA,"=""NBRES""",1,J1,"=""NBRES""",,,TO_REVIEW
AMPANDRANDAVA,"=""ABSENCE""",1,K1,"=""ABSENCE""",,,TO_REVIEW
AMPANDRANDAVA,"=""INDEMNITE""",1,L1,"=""INDEMNITE""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAPPELSURSALAIRE""",1,M1,"=""RAPPEL SUR SALAIRE""",,,TO_REVIEW
AMPANDRANDAVA,"=""BRUT""",1,N1,"=""BRUT""",,,TO_REVIEW
AMPANDRANDAVA,"=""IRSA""",1,O1,"=""IRSA""",,,TO_REVIEW
AMPANDRANDAVA,"=""RETCNAPS""",1,P1,"=""RET CNAPS""",,,TO_REVIEW
AMPANDRANDAVA,"=""PAIEMENTESP""",1,Q1,"=""PAIEMENT ESP""",,,TO_REVIEW
AMPANDRANDAVA,"=""ANCARR""",1,R1,"=""ANC ARR""",,,TO_REVIEW
AMPANDRANDAVA,"=""NOUVARR""",1,S1,"=""NOUV ARR""",,,TO_REVIEW
AMPANDRANDAVA,"=""NETAPAYER""",1,T1,"=""NET A PAYER""",,,TO_REVIEW
AMPANDRANDAVA,"=""UNITE""",1,U1,"=""UNITE""",,,TO_REVIEW
AMPANDRANDAVA,"=""INTITULÉÉTABLISSEMENT""",1,V1,"=""Intitulé établissement""",,,TO_REVIEW
AMPANDRANDAVA,"=""MODEDEPAIEMENT""",1,W1,"=""MODE DE PAIEMENT""",,,TO_REVIEW
AMPANDRANDAVA,"=""0760""",1,A2,"="" 0760""",,,TO_REVIEW
AMPANDRANDAVA,"=""REFILA""",1,B2,"=""REFILA""",,,TO_REVIEW
AMPANDRANDAVA,"=""01096""",1,A3,"=""01096""",,,TO_REVIEW
AMPANDRANDAVA,"=""TOLISOA""",1,B3,"=""TOLISOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""01120""",1,A4,"=""01120""",,,TO_REVIEW
AMPANDRANDAVA,"=""JEANBAPTISTE""",1,B4,"=""JEAN BAPTISTE""",,,TO_REVIEW
AMPANDRANDAVA,"=""MECANICIEN""",1,D4,"=""MECANICIEN""",,,TO_REVIEW
AMPANDRANDAVA,"=""01196""",1,A5,"=""01196""",,,TO_REVIEW
AMPANDRANDAVA,"=""BRUNO""",1,B5,"=""BRUNO""",,,TO_REVIEW
AMPANDRANDAVA,"=""5A""",1,F5,"=""5A""",,,TO_REVIEW
AMPANDRANDAVA,"=""01227""",1,A6,"=""01227""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAYMONDNOEL""",1,B6,"=""RAYMOND NOEL""",,,TO_REVIEW
AMPANDRANDAVA,"=""3B""",1,F6,"=""3B""",,,TO_REVIEW
AMPANDRANDAVA,"=""01276""",1,A7,"=""01276""",,,TO_REVIEW
AMPANDRANDAVA,"=""ANDRIANJAKASOA""",1,B7,"=""ANDRIANJAKASOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""LALA""",1,C7,"=""Lala""",,,TO_REVIEW
AMPANDRANDAVA,"=""CHEFD'EXPLOITATION""",1,D7,"=""CHEF D'EXPLOITATION""",,,TO_REVIEW
AMPANDRANDAVA,"=""01319""",1,A8,"=""01319""",,,TO_REVIEW
AMPANDRANDAVA,"=""FAHAMARO""",1,B8,"=""FAHAMARO""",,,TO_REVIEW
AMPANDRANDAVA,"=""01322""",1,A9,"=""01322""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZAFINDRALAMBO""",1,B9,"=""RAZAFINDRALAMBO""",,,TO_REVIEW
AMPANDRANDAVA,"=""ODILON""",1,C9,"=""Odilon""",,,TO_REVIEW
AMPANDRANDAVA,"=""MACON""",1,D9,"=""MACON""",,,TO_REVIEW
AMPANDRANDAVA,"=""CELLB""",1,F9,"=""OP1B""",,,TO_REVIEW
AMPANDRANDAVA,"=""01325""",1,A10,"=""01325""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAHERINIAINA""",1,B10,"=""RAHERINIAINA""",,,TO_REVIEW
AMPANDRANDAVA,"=""ELIECHARL""",1,C10,"=""Elie Charl""",,,TO_REVIEW
AMPANDRANDAVA,"=""01326""",1,A11,"=""01326""",,,TO_REVIEW
AMPANDRANDAVA,"=""CLAUDEFRA""",1,C11,"=""Claude Fra""",,,TO_REVIEW
AMPANDRANDAVA,"=""01327""",1,A12,"=""01327""",,,TO_REVIEW
AMPANDRANDAVA,"=""01331""",1,A13,"=""01331""",,,TO_REVIEW
AMPANDRANDAVA,"=""FANAHIA""",1,B13,"=""FANAHIA""",,,TO_REVIEW
AMPANDRANDAVA,"=""BERTRANDG""",1,C13,"=""Bertrand G""",,,TO_REVIEW
AMPANDRANDAVA,"=""2B""",1,F13,"=""2B""",,,TO_REVIEW
AMPANDRANDAVA,"=""01334""",1,A14,"=""01334""",,,TO_REVIEW
AMPANDRANDAVA,"=""HOVA""",1,B14,"=""HOVA""",,,TO_REVIEW
AMPANDRANDAVA,"=""CLAUDINE""",1,C14,"=""Claudine""",,,TO_REVIEW
AMPANDRANDAVA,"=""FEMMEDEMENAGE""",1,D14,"=""FEMME DE MENAGE""",,,TO_REVIEW
AMPANDRANDAVA,"=""10027""",1,A15,"=""10027""",,,TO_REVIEW
AMPANDRANDAVA,"=""MILASOA""",1,B15,"=""MILASOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""GAETAN""",1,C15,"=""Gaetan""",,,TO_REVIEW
AMPANDRANDAVA,"=""MAGASINIER""",1,D15,"=""MAGASINIER""",,,TO_REVIEW
AMPANDRANDAVA,"=""10072""",1,A16,"=""10072""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZANAMAHEFA""",1,B16,"=""RAZANAMAHEFA""",,,TO_REVIEW
AMPANDRANDAVA,"=""MONIQUE""",1,C16,"=""Monique""",,,TO_REVIEW
AMPANDRANDAVA,"=""RESPMICA""",1,D16,"=""RESP MICA""",,,TO_REVIEW
AMPANDRANDAVA,"=""10100""",1,A17,"=""10100""",,,TO_REVIEW
AMPANDRANDAVA,"=""RASOAMAMPIONONA""",1,B17,"=""RASOAMAMPIONONA""",,,TO_REVIEW
AMPANDRANDAVA,"=""ALICE""",1,C17,"=""Alice""",,,TO_REVIEW
AMPANDRANDAVA,"=""LINGERIE""",1,D17,"=""LINGERIE""",,,TO_REVIEW
AMPANDRANDAVA,"=""10101""",1,A18,"=""10101""",,,TO_REVIEW
AMPANDRANDAVA,"=""RALAIVAO""",1,B18,"=""RALAIVAO""",,,TO_REVIEW
AMPANDRANDAVA,"=""SETHNORBE""",1,C18,"=""Seth Norbe""",,,TO_REVIEW
AMPANDRANDAVA,"=""RECEPTIONNISTE""",1,D18,"=""RECEPTIONNISTE""",,,TO_REVIEW
AMPANDRANDAVA,"=""11339""",1,A19,"=""11339""",,,TO_REVIEW
AMPANDRANDAVA,"=""TSIFY""",1,C19,"=""Tsify""",,,TO_REVIEW
AMPANDRANDAVA,"=""11340""",1,A20,"=""11340""",,,TO_REVIEW
AMPANDRANDAVA,"=""TSIVERY""",1,B20,"=""TSIVERY""",,,TO_REVIEW
AMPANDRANDAVA,"=""LEONCE""",1,C20,"=""Leonce""",,,TO_REVIEW
AMPANDRANDAVA,"=""11341""",1,A21,"=""11341""",,,TO_REVIEW
AMPANDRANDAVA,"=""RASOLO""",1,B21,"=""RASOLO""",,,TO_REVIEW
AMPANDRANDAVA,"=""LOUISSERA""",1,C21,"=""Louis Sera""",,,TO_REVIEW
AMPANDRANDAVA,"=""11342""",1,A22,"=""11342""",,,TO_REVIEW
AMPANDRANDAVA,"=""ZAFINDRAZA""",1,B22,"=""ZAFINDRAZA""",,,TO_REVIEW
AMPANDRANDAVA,"=""11343""",1,A23,"=""11343""",,,TO_REVIEW
AMPANDRANDAVA,"=""TSANGANAVELO""",1,B23,"=""TSANGANAVELO""",,,TO_REVIEW
AMPANDRANDAVA,"=""11346""",1,A24,"=""11346""",,,TO_REVIEW
AMPANDRANDAVA,"=""AVISOA""",1,B24,"=""AVISOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""MAHONJO""",1,C24,"=""Mahonjo""",,,TO_REVIEW
AMPANDRANDAVA,"=""11348""",1,A25,"=""11348""",,,TO_REVIEW
AMPANDRANDAVA,"=""MANJOSOA""",1,B25,"=""MANJOSOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""11349""",1,A26,"=""11349""",,,TO_REVIEW
AMPANDRANDAVA,"=""MANAFOKO""",1,B26,"=""MANAFOKO""",,,TO_REVIEW
AMPANDRANDAVA,"=""11350""",1,A27,"=""11350""",,,TO_REVIEW
AMPANDRANDAVA,"=""SOAZARA""",1,B27,"=""SOAZARA""",,,TO_REVIEW
AMPANDRANDAVA,"=""JEANPAUL""",1,C27,"=""Jean Paul""",,,TO_REVIEW
AMPANDRANDAVA,"=""11351""",1,A28,"=""11351""",,,TO_REVIEW
AMPANDRANDAVA,"=""SAMBOMANA""",1,B28,"=""SAMBOMANA""",,,TO_REVIEW
AMPANDRANDAVA,"=""11352""",1,A29,"=""11352""",,,TO_REVIEW
AMPANDRANDAVA,"=""RANDRIAMANDAMINA""",1,B29,"=""RANDRIAMANDAMINA""",,,TO_REVIEW
AMPANDRANDAVA,"=""BERNARDIN""",1,C29,"=""Bernardin""",,,TO_REVIEW
AMPANDRANDAVA,"=""BOUTEFEUX""",1,D29,"=""BOUTE FEUX""",,,TO_REVIEW
AMPANDRANDAVA,"=""11353""",1,A30,"=""11353""",,,TO_REVIEW
AMPANDRANDAVA,"=""IERI""",1,B30,"=""IERI""",,,TO_REVIEW
AMPANDRANDAVA,"=""SANTÉGALO""",1,C30,"=""Santé Galo""",,,TO_REVIEW
AMPANDRANDAVA,"=""CONDUCTEUR/SOUDEUR""",1,D30,"=""CONDUCTEUR/SOUDEUR""",,,TO_REVIEW
AMPANDRANDAVA,"=""11354""",1,A31,"=""11354""",,,TO_REVIEW
AMPANDRANDAVA,"=""SILIVERA""",1,B31,"=""SILIVERA""",,,TO_REVIEW
AMPANDRANDAVA,"=""AIDEPLOMBIER""",1,D31,"=""AIDE PLOMBIER""",,,TO_REVIEW
AMPANDRANDAVA,"=""11355""",1,A32,"=""11355""",,,TO_REVIEW
AMPANDRANDAVA,"=""ROBITIANA""",1,B32,"=""ROBITIANA""",,,TO_REVIEW
AMPANDRANDAVA,"=""REINE""",1,C32,"=""Reine""",,,TO_REVIEW
AMPANDRANDAVA,"=""RESPONSABLEPESEURS""",1,D32,"=""RESPONSABLE PESEURS""",,,TO_REVIEW
AMPANDRANDAVA,"=""11361""",1,A33,"=""11361""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAVELOMANANTSOANIRINA""",1,B33,"=""RAVELOMANANTSOA NIRINA""",,,TO_REVIEW
AMPANDRANDAVA,"=""EDMOND""",1,C33,"=""Edmond""",,,TO_REVIEW
AMPANDRANDAVA,"=""RESPONSABLEMINESAMPANDRANDA""",1,D33,"=""RESPONSABLE MINES  AMPANDRANDA""",,,TO_REVIEW
AMPANDRANDAVA,"=""21018""",1,A34,"=""21018""",,,TO_REVIEW
AMPANDRANDAVA,"=""SOARAZA""",1,B34,"=""SOARAZA""",,,TO_REVIEW
AMPANDRANDAVA,"=""GERARD""",1,C34,"=""Gerard""",,,TO_REVIEW
AMPANDRANDAVA,"=""21019""",1,A35,"=""21019""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZAFIMANDROSO""",1,B35,"=""RAZAFIMANDROSO""",,,TO_REVIEW
AMPANDRANDAVA,"=""NANTENAINA""",1,C35,"=""Nantenaina""",,,TO_REVIEW
AMPANDRANDAVA,"=""21032""",1,A36,"=""21032""",,,TO_REVIEW
AMPANDRANDAVA,"=""TANANTSOA""",1,B36,"=""TANANTSOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""21033""",1,A37,"=""21033""",,,TO_REVIEW
AMPANDRANDAVA,"=""FERNAND""",1,B37,"=""FERNAND""",,,TO_REVIEW
AMPANDRANDAVA,"=""FIARENA""",1,C37,"=""Fiarena""",,,TO_REVIEW
AMPANDRANDAVA,"=""21034""",1,A38,"=""21034""",,,TO_REVIEW
AMPANDRANDAVA,"=""21036""",1,A39,"=""21036""",,,TO_REVIEW
AMPANDRANDAVA,"=""MALANGISOA""",1,B39,"=""MALANGISOA""",,,TO_REVIEW
AMPANDRANDAVA,"=""21050""",1,A40,"=""21050""",,,TO_REVIEW
AMPANDRANDAVA,"=""AUGUSTIN""",1,C40,"=""Augustin""",,,TO_REVIEW
AMPANDRANDAVA,"=""PESEURMICABRUT""",1,D40,"=""PESEUR MICA BRUT""",,,TO_REVIEW
AMPANDRANDAVA,"=""21053""",1,A41,"=""21053""",,,TO_REVIEW
AMPANDRANDAVA,"=""MIANDRISOAT.""",1,B41,"=""MIANDRISOA T.""",,,TO_REVIEW
AMPANDRANDAVA,"=""NARCISSE""",1,C41,"=""Narcisse""",,,TO_REVIEW
AMPANDRANDAVA,"=""TOJ""",1,D41,"=""TOJ""",,,TO_REVIEW
AMPANDRANDAVA,"=""21057""",1,A42,"=""21057""",,,TO_REVIEW
AMPANDRANDAVA,"=""SOAFANOROA""",1,B42,"=""SOAFANOROA""",,,TO_REVIEW
AMPANDRANDAVA,"=""MINEUR""",1,D42,"=""MINEUR""",,,TO_REVIEW
AMPANDRANDAVA,"=""21059""",1,A43,"=""21059""",,,TO_REVIEW
AMPANDRANDAVA,"=""21061""",1,A44,"=""21061""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZAFINDRAKOTONIAINA""",1,B44,"=""RAZAFINDRAKOTONIAINA""",,,TO_REVIEW
AMPANDRANDAVA,"=""PATRICK""",1,C44,"=""Patrick""",,,TO_REVIEW
AMPANDRANDAVA,"=""21062""",1,A45,"=""21062""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAMANAHIRANA""",1,B45,"=""RAMANAHIRANA""",,,TO_REVIEW
AMPANDRANDAVA,"=""VORISOARE""",1,C45,"=""Vorisoa Re""",,,TO_REVIEW
AMPANDRANDAVA,"=""21210""",1,A46,"=""21210""",,,TO_REVIEW
AMPANDRANDAVA,"=""SOJACECILIA""",1,B46,"=""SOJA CECILIA""",,,TO_REVIEW
AMPANDRANDAVA,"=""21251""",1,A47,"=""21251""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAKOTOMALALA""",1,B47,"=""RAKOTOMALALA""",,,TO_REVIEW
AMPANDRANDAVA,"=""SOJA""",1,C47,"=""Soja""",,,TO_REVIEW
AMPANDRANDAVA,"=""21277""",1,A48,"=""21277""",,,TO_REVIEW
AMPANDRANDAVA,"=""LAMBO""",1,B48,"=""LAMBO""",,,TO_REVIEW
AMPANDRANDAVA,"=""21296""",1,A49,"=""21296""",,,TO_REVIEW
AMPANDRANDAVA,"=""RANOMENJANAHARY""",1,B49,"=""RANOMENJANAHARY""",,,TO_REVIEW
AMPANDRANDAVA,"=""DONALDREM""",1,C49,"=""Donald Rem""",,,TO_REVIEW
AMPANDRANDAVA,"=""21322""",1,A50,"=""21322""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZAFIMAHATRATRA""",1,B50,"=""RAZAFIMAHATRATRA""",,,TO_REVIEW
AMPANDRANDAVA,"=""GASTON""",1,C50,"=""Gaston""",,,TO_REVIEW
AMPANDRANDAVA,"=""21335""",1,A51,"=""21335""",,,TO_REVIEW
AMPANDRANDAVA,"=""TIRINDRAY""",1,B51,"=""TIRINDRAY""",,,TO_REVIEW
AMPANDRANDAVA,"=""MAHERISOA""",1,C51,"=""Maherisoa""",,,TO_REVIEW
AMPANDRANDAVA,"=""21364""",1,A52,"=""21364""",,,TO_REVIEW
AMPANDRANDAVA,"=""JEAN""",1,C52,"=""Jean""",,,TO_REVIEW
AMPANDRANDAVA,"=""21473""",1,A53,"=""21473""",,,TO_REVIEW
AMPANDRANDAVA,"=""21478""",1,A54,"=""21478""",,,TO_REVIEW
AMPANDRANDAVA,"=""DAMY""",1,B54,"=""DAMY""",,,TO_REVIEW
AMPANDRANDAVA,"=""SYLVIN""",1,C54,"=""Sylvin""",,,TO_REVIEW
AMPANDRANDAVA,"=""21479""",1,A55,"=""21479""",,,TO_REVIEW
AMPANDRANDAVA,"=""FANOMEZA""",1,B55,"=""FANOMEZA""",,,TO_REVIEW
AMPANDRANDAVA,"=""ALSON""",1,C55,"=""Alson""",,,TO_REVIEW
AMPANDRANDAVA,"=""BOUTEFEU""",1,D55,"=""BOUTE FEU""",,,TO_REVIEW
AMPANDRANDAVA,"=""21543""",1,A56,"=""21543""",,,TO_REVIEW
AMPANDRANDAVA,"=""MIHA""",1,B56,"=""MIHA""",,,TO_REVIEW
AMPANDRANDAVA,"=""TAHINTSOA""",1,C56,"=""Tahintsoa""",,,TO_REVIEW
AMPANDRANDAVA,"=""21607""",1,A57,"=""21607""",,,TO_REVIEW
AMPANDRANDAVA,"=""MANADILY""",1,B57,"=""MANADILY""",,,TO_REVIEW
AMPANDRANDAVA,"=""21656""",1,A58,"=""21656""",,,TO_REVIEW
AMPANDRANDAVA,"=""HERINIAINA""",1,B58,"=""HERINIAINA""",,,TO_REVIEW
AMPANDRANDAVA,"=""THERRYGAL""",1,C58,"=""Therry Gal""",,,TO_REVIEW
AMPANDRANDAVA,"=""21675""",1,A59,"=""21675""",,,TO_REVIEW
AMPANDRANDAVA,"=""RAZAFINDRAGABY""",1,B59,"=""RAZAFINDRAGABY""",,,TO_REVIEW
AMPANDRANDAVA,"=""21714""",1,A60,"=""21714""",,,TO_REVIEW
