sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
Emprunts FD,"=IF(CELL="""","""",IF(CELL+1>CELL,"""",CELL+1))",89,A21,"=IF(A20="" "","" "",IF(A20+1>$D$8,"" "",A20+1))",,,TO_REVIEW
Stat,=+CELL,88,N3,=+B3,,,TO_REVIEW
BL,"=RIGHT(CELL,3)",87,F5,"=RIGHT(A5,3)",,,TO_REVIEW
AN,=-CELL,86,H6,=-H8,,,TO_REVIEW
AN,=-CELL-CELL,86,C19,=-C13-C18,,,TO_REVIEW
Feuil3,=+ORG!CELL,83,B5,=+Org!AC14,,,TO_REVIEW
CR Nature FD,=+CELL,77,C38,=+C2,,,TO_REVIEW
AMPANDRANDAVA,"=""SOCIETEDESMINESD'AMPANDRANDAVA""",76,V2,"=""SOCIETE DES MINES D'AMPANDRANDAVA""",,,TO_REVIEW
AN,=+CELL-CELL,76,C159,=+C158-C37,,,TO_REVIEW
AMPANDRANDAVA,"=""ESPÈCES""",74,W2,"=""Espèces""",,,TO_REVIEW
AMPANDRANDAVA,"=""""",74,C3,"=""""",,,TO_REVIEW
FORT DAUPHIN,=+CELL/CELL,73,J3,=+J5/D5,,,TO_REVIEW
FORT DAUPHIN,=+CELL*CELL,72,L148,=+J148*K148,,,TO_REVIEW
Stat,"=SUMIF(CELL:CELL,CELL,CELL:CELL)",72,Q4,"=SUMIF($C$4:$F$12,$C$4,$F$4:$F$12)",,,TO_REVIEW
Commandes,"=ROUND((+CELL)*(1+CELL),0)*1000",72,C51,"=ROUND((+C28)*(1+$C$47),0)*1000",,,TO_REVIEW
Prestation,=+CELL*CELL,72,D25,=+$C$25*D12,,,TO_REVIEW
Achat,=SUM(CELL:CELL),70,P4,=SUM(D4:O4),,,TO_REVIEW
Détails Achats direct,=SUM(CELL:CELL),69,P4,=SUM(D4:O4),,,TO_REVIEW
Primes,=+ORG!CELL,67,F16,=+Org!M34,,,TO_REVIEW
CR Nature FD,=+CELL-CELL,66,C26,=+C24-C25,,,TO_REVIEW
Production,=-+'BESOINSENMICAS'!CELL,65,D77,=-+'Besoins en micas'!C113,,,TO_REVIEW
Production,=-SUM(CELL:CELL)*'BESOINSENMICAS'!CELL,65,D82,=-SUM(D76:D81)*'Besoins en micas'!$P$113,,,TO_REVIEW
FORT DAUPHIN,=+CELL*13,64,G141,=+E141*13,,,TO_REVIEW
FORT DAUPHIN,=+CELL*5,64,H141,=+F141*5,,,TO_REVIEW
Données SOMIDA,=+CELL,63,E11,=+E5,,,TO_REVIEW
Feuil3,=SUM(CELL:CELL),62,C12,=SUM(C5:C11),,,TO_REVIEW
Production,"=SUMIF(CELL:CELL,CELL,CELL:CELL)",60,D88,"=SUMIF($B$77:$B$86,$B$77,D77:D86)",,,TO_REVIEW
CA,"=+SUMIF(CELL:CELL,CELL,CELL:CELL)*CELL",60,C45,"=+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44",,,TO_REVIEW
Primes,=+CELL*CELL/12,60,E65,=+D65*$E$62/12,,,TO_REVIEW
Sal,=+'BESOINSENMICAS'!CELL,56,B3,=+'Besoins en micas'!B82,,,TO_REVIEW
Primes,=+'BESOINSENMICAS'!CELL,56,C3,=+'Besoins en micas'!B3,,,TO_REVIEW
CA,=+'DONNÉESSOMIDA'!CELL,55,B4,=+'Données SOMIDA'!C96,,,TO_REVIEW
Production,=+CELL/'DONNÉESSOMIDA'!CELL,54,D72,=+D71/'Données SOMIDA'!$E$12,,,TO_REVIEW
Sal,=+CELL+CELL+CELL,52,D195,=+D192+D193+D194,,,TO_REVIEW
Etat_Trésorerie FD,"=SUM(CELL,CELL)",52,D38,"=SUM(D17,D37)",,,TO_REVIEW
AN,=+CELL+CELL+CELL+CELL,52,D39,=+D163+D164+D167+D168,,,TO_REVIEW
Feuil3,=+CELL*1%,51,N5,=+H5*1%,,,TO_REVIEW
CR Nature FD,=+SUM(CELL:CELL),51,O4,=+SUM(C4:N4),,,TO_REVIEW
CR Nature FD,=SUM(CELL:CELL),51,C10,=SUM(C3:C9),,,TO_REVIEW
Etat_Trésorerie FD,=+CELL-AN!CELL,51,D70,=+D69-AN!D219,,,TO_REVIEW
Invest FD,=SUM(CELL:CELL),51,O4,=SUM(C4:N4),,,TO_REVIEW
Détails FF FD,=SUM(CELL:CELL),50,O3,=SUM(C3:N3),,,TO_REVIEW
Production,"=IFERROR(+CELL/CELL,0)",49,D71,"=IFERROR(+D68/D69,0)",,,TO_REVIEW
Besoins en micas,"=+SUMIF(CELL:CELL,CELL,CELL:CELL)*'DONNÉESSOMIDA'!CELL",48,C74,"=+SUMIF($B$44:$B$53,$B$74,C44:C53)*'Données SOMIDA'!$E$71",,,TO_REVIEW
Besoins en micas,"=SUMIF(CELL:CELL,CELL,CELL:CELL)*'DONNÉESSOMIDA'!CELL",48,C113,"=SUMIF($B$44:$B$52,$B$113,C44:C52)*'Données SOMIDA'!$N$71",,,TO_REVIEW
Besoins en micas,"=SUMIF(CELL:CELL,CELL,CELL:CELL)",48,C123,"=SUMIF($B$44:$B$52,$B$113,C44:C52)",,,TO_REVIEW
Org (2),=+CELL,47,N21,=+N19,,,TO_REVIEW
AMPANDRANDAVA,"=""JOURNALIER""",47,U25,"=""JOURNALIER""",,,TO_REVIEW
FORT DAUPHIN,"=SUBTOTAL(9,CELL:CELL)",43,G5,"=SUBTOTAL(9,G7:G135)",,,TO_REVIEW
Org,=+CELL,43,AN31,=+AC14,,,TO_REVIEW
Org (2),=+CELL*13%,43,BB14,=+AM14*13%,,,TO_REVIEW
CR Nature FD,=+CA!CELL,41,B4,=+CA!B18,,,TO_REVIEW
Goodeis,=CELL*CELL,40,B8,=B6*B7,,,TO_REVIEW
Production,=+'DONNÉESSOMIDA'!CELL,39,B3,=+'Données SOMIDA'!C18,,,TO_REVIEW
Production,=+CELL+CELL-CELL,39,D59,=+D47+D51-D55,,,TO_REVIEW
Besoins en micas,=+CELL+CELL-CELL,39,C22,=+C10+C14-C18,,,TO_REVIEW
CR Nature FD,=+PRESTATION!CELL,39,C12,=+Prestation!D71,,,TO_REVIEW
Etat_Trésorerie FD,=+SUM(CELL:CELL),39,D41,=+SUM(D39:D40),,,TO_REVIEW
CR Nature FD,=+ACHAT!CELL,38,C11,=+Achat!D29,,,TO_REVIEW
CR Nature FD,=+'I&T'!CELL,38,C16,=+'I&T'!D12,,,TO_REVIEW
Org (2),=+CELL+CELL+CELL,37,BI34,=+AO34+BC34+BF34,,,TO_REVIEW
CA,"=IFERROR(+CELL/CELL,0)",37,M77,"=IFERROR(+N77/L77,0)",,,TO_REVIEW
I&T,=SUM(CELL:CELL),37,P3,=SUM(D3:O3),,,TO_REVIEW
Stat,"=+VLOOKUP(CELL,#REF!,4,FALSE)",36,R4,"=+VLOOKUP(O4,#REF!,4,FALSE)",,,TO_REVIEW
Commandes,"=ROUND((+CELL)*(1-CELL),0)*1000",36,K51,"=ROUND((+K28)*(1-$C$47),0)*1000",,,TO_REVIEW
Production,=+'DONNÉESSOMIDA'!CELL*1000,36,D3,=+'Données SOMIDA'!$E$18*1000,,,TO_REVIEW
Production,"=+_XLFN.XLOOKUP(CELL,'DONNÉESSOMIDA'!CELL:CELL,'DONNÉESSOMIDA'!CELL:CELL)",36,K139,"=+_xlfn.XLOOKUP(J139,'Données SOMIDA'!$B$18:$B$28,'Données SOMIDA'!$C$18:$C$28)",,,TO_REVIEW
Production,=+PRODUCTION!CELL,36,L139,=+Production!D$9,,,TO_REVIEW
Production,=+PRODUCTION!CELL*PRODUCTION!CELL/PRODUCTION!CELL,36,N139,=+Production!$D$68*Production!D9/Production!$D$12,,,TO_REVIEW
Traitement,"=VLOOKUP(CELL,CELL:CELL,2,FALSE)/1000",36,G20,"=VLOOKUP(E20,$A$20:$B$31,2,FALSE)/1000",,,TO_REVIEW
Traitement,"=IF(CELL=MAX(CELL:CELL),CELL,"""")",36,H20,"=IF(G20=MAX($G$20:$G$31),G20,"""")",,,TO_REVIEW
Traitement,"=+VLOOKUP(CELL,CELL:CELL,2,FALSE)/1000000",36,G66,"=+VLOOKUP(E66,$A$66:$C$77,2,FALSE)/1000000",,,TO_REVIEW
Traitement,"=+VLOOKUP(CELL,CELL:CELL,3,FALSE)/1000000",36,H66,"=+VLOOKUP(E66,$A$66:$C$77,3,FALSE)/1000000",,,TO_REVIEW
Besoins en micas,=+COMMANDES!CELL,36,C37,=+Commandes!C32,,,TO_REVIEW
Sal,=+CELL*CELL*25,36,D20,=+$C$20*$C$10*25,,,TO_REVIEW
Feuil3,=+CELL+CELL,34,H5,=+G5+E5,,,TO_REVIEW
Détails FF FD,=+CELL,34,C9,=+C2,,,TO_REVIEW
Org,=+CELL*13%,33,BB14,=+AM14*13%,,,TO_REVIEW
Feuil3,=+CELL*CELL,33,E5,=+C5*D5,,,TO_REVIEW
Feuil3,=+CELL*0.13,33,J5,=+H5*0.13,,,TO_REVIEW
Feuil3,=+CELL+CELL+CELL,33,K5,=+H5+I5+J5,,,TO_REVIEW
Feuil3,=+CELL-CELL-CELL-CELL,33,O5,=+H5-L5-M5-N5,,,TO_REVIEW
Données SOMIDA,=+CELL*12,30,D18,=+E18*12,,,TO_REVIEW
Org,=+CELL+CELL+CELL,30,BG31,=+AW31+BA31+BD31,,,TO_REVIEW
Org,=+CELL*CELL,29,AM14,=+AG14*AL14,,,TO_REVIEW
Production,=+#REF!,29,D37,=+#REF!,,,TO_REVIEW
Sal,=+CELL+CELL+CELL+CELL,29,C71,=+C70+C66+C60+C46,,,TO_REVIEW
Etat_Trésorerie FD,=+CELL-CELL,28,E85,=+E84-D85,,,TO_REVIEW
Org,"=+IF(CELL=""FO"",""PRIMEDERENDEMENT"",""BASE1MOISSALAIRE"")",27,AU14,"=+IF(AB14=""FO"",""Prime de rendement"",""Base 1 mois salaire"")",,,TO_REVIEW
Org (2),=+CELL*CELL,27,AM14,=+AG14*AL14,,,TO_REVIEW
Détails,=+CELL*CELL,27,C8,=+$B$8*C4,,,TO_REVIEW
Feuil3,=+CELL*0.05,27,I5,=+H5*0.05,,,TO_REVIEW
Achat,=+CELL,27,D31,=+D29,,,TO_REVIEW
CR Nature FD,=+CELL/CELL,27,O37,=+O36/O10,,,TO_REVIEW
Détails,=+CELL+CELL,26,C6,=+C4+C5,,,TO_REVIEW
Production,=+CELL-CELL,26,D14,=+D6-D12,,,TO_REVIEW
Production,=CELL/'DONNÉESSOMIDA'!CELL,26,D102,=D94/'Données SOMIDA'!$E$12,,,TO_REVIEW
Besoins en micas,"=+IFERROR(CELL/CELL,"""")",26,C134,"=+IFERROR(C114/C124,"""")",,,TO_REVIEW
Sal,=-SUM(CELL:CELL),26,D164,=-SUM(D160:D163),,,TO_REVIEW
Prestation,=+ACHAT!CELL,26,D18,=+Achat!D2,,,TO_REVIEW
CR Nature FD,"=IFERROR(+CELL/CELL,"""")",26,C74,"=IFERROR(+C73/C72,"""")",,,TO_REVIEW
Etat_Trésorerie FD,"=SUM(CELL,CELL,CELL,CELL)",26,D37,"=SUM(D35,D31,D27,D22)",,,TO_REVIEW
Etat_Trésorerie FD,=+CELL,26,D71,=+C79,,,TO_REVIEW
Sal,=+CELL*0.18,25,D167,=+D166*0.18,,,TO_REVIEW
Amort,=SUM(CELL:CELL),25,O3,=SUM(C3:N3),,,TO_REVIEW
CR Nature FD,=CELL+CELL,25,C27,=C23+C26,,,TO_REVIEW
Etat_Trésorerie FD,=-(AN!CELL),25,D21,=-(AN!D75),,,TO_REVIEW
AN,=-'CRNATUREFD'!CELL/1000,25,D7,=-'CR Nature FD'!C36/1000,,,TO_REVIEW
AN,=-SUM(CELL:CELL),25,G96,=-SUM(D95:F95),,,TO_REVIEW
AMPANDRANDAVA,"=""PERMANENT""",24,U3,"=""PERMANENT""",,,TO_REVIEW
Production,=+SUM(CA!CELL:CELL)*1000,24,D55,=+SUM(CA!C4:C7)*1000,,,TO_REVIEW
Besoins en micas,=+PRODUCTION!CELL/'DONNÉESSOMIDA'!CELL,24,C3,=+Production!D9/'Données SOMIDA'!$D$58,,,TO_REVIEW
Besoins en micas,=+CELL*(1+CELL),24,C14,=+C3*(1+$C$8),,,TO_REVIEW
Sal,=+CELL*CELL*CELL,24,D15,=+$C$15*D8*$C$10,,,TO_REVIEW
Sal,=-CELL,24,D169,=-D167,,,TO_REVIEW
Primes,"=ROUNDUP(+CELL*CELL,-2)",24,D41,"=ROUNDUP(+D30*D24,-2)",,,TO_REVIEW
Achat,"=IFERROR(-'BESOINSENMICAS'!CELL,"""")",24,D5,"=IFERROR(-'Besoins en micas'!C28,"""")",,,TO_REVIEW
Achat,"=+SUMIF(CELL:CELL,CELL,CELL:CELL)",24,D39,"=+SUMIF($R$4:$R$28,$R$4,D4:D28)",,,TO_REVIEW
Prestation,"=SUMIF(CELL:CELL,CELL,CELL:CELL)",24,D83,"=SUMIF($Q$42:$Q$70,$Q$42,D42:D70)",,,TO_REVIEW
CR Nature FD,=+SUM(CA!CELL:CELL),24,C4,=+SUM(CA!C19:C22),,,TO_REVIEW
CR Nature FD,=+AUTRES!CELL,24,C19,=+Autres!C5,,,TO_REVIEW
CR Nature FD,=+AMORT!CELL,24,C20,=+Amort!C15,,,TO_REVIEW
CR Nature FD,=+'FRAISFINANCIER'!CELL,24,C25,=+'Frais financier'!C3,,,TO_REVIEW
CR Nature FD,=+SAL!CELL+SAL!CELL,24,C46,=+Sal!D184+Sal!D186,,,TO_REVIEW
AN,=+SUM(CELL:CELL),24,D32,=+SUM(D125:D135),,,TO_REVIEW
AN,=CELL,24,E57,=D62,,,TO_REVIEW
AN,=+CA!CELL,24,D179,=+CA!D38,,,TO_REVIEW
Détails FF FD,"=IFERROR(+CELL+CELL,0)",24,C17,"=IFERROR(+C10+C3,0)",,,TO_REVIEW
Feuil1 (2),"=SUBTOTAL(9,CELL:CELL)",22,D1,"=SUBTOTAL(9,D4:D28)",,,TO_REVIEW
Données SOMIDA,=+CELL*25,21,E18,=+F18*25,,,TO_REVIEW
Org (2),=+CELL+CELL,21,BE14,=+AM14+BB14,,,TO_REVIEW
Org (2),=+CELL*5%,20,AB169,=+N169*5%,,,TO_REVIEW
AMPANDRANDAVA,"=""CELL""",20,F2,"=""M1""",,,TO_REVIEW
OKB FP1,=CELL*CELL,19,E16,=B16*C16,,,TO_REVIEW
Invest FD,=+#REF!,19,B4,=+#REF!,,,TO_REVIEW
Org,=+CELL*5%,18,AB63,=+N63*5%,,,TO_REVIEW
 OKB TRA ABR,=CELL*CELL,18,E15,=B15*C15,,,TO_REVIEW
Org (2),=SUM(CELL:CELL),18,N19,=SUM(N15:R18),,,TO_REVIEW
AN,=+'DÉTAILSFFFD'!CELL/1000,18,D60,=+'Détails FF FD'!C3/1000,,,TO_REVIEW
Données SOMIDA,=SUM(CELL:CELL),17,E67,=SUM(E62:E65),,,TO_REVIEW
Org (2),=+CELL*2,17,X220,=+J220*2,,,TO_REVIEW
Feuil3,"=+IF((CELL+CELL)<350000,2000,(CELL+CELL)*0.2)*CELL",17,L5,"=+IF((D5+F5)<350000,2000,(D5+F5)*0.2)*C5",,,TO_REVIEW
CA,=+PRODUCTION!CELL,17,C2,=+Production!D8,,,TO_REVIEW
