sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
AN,O102,102,15,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,H198,198,8,NUMBER,-45000,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,D3,3,4,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,E3,3,5,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,F3,3,6,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,G3,3,7,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,H3,3,8,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,I3,3,9,NUMBER,66666666.666666664,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,J3,3,10,NUMBER,64935804.845852904,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,K3,3,11,NUMBER,63176095.32802559,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,L3,3,12,NUMBER,61387057.31823447,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,M3,3,13,NUMBER,59568202.00828018,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Détails FF FD,N3,3,14,NUMBER,57719032.44315998,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
OKB FP1,B3,3,2,NUMBER,60,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),General
 OKB TRA ABR,B3,3,2,NUMBER,301.9,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),General
AN,J73,73,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D115,115,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E115,115,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F115,115,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,G115,115,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,I115,115,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,J115,115,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K115,115,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L115,115,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,M115,115,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,N115,115,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,O115,115,15,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E142,142,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F142,142,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,G142,142,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,H142,142,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,I142,142,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,J142,142,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K142,142,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L142,142,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,M142,142,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,N142,142,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,O142,142,15,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D148,148,4,NUMBER,-500000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E148,148,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F148,148,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,G148,148,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,H148,148,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,I148,148,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,J148,148,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K148,148,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L148,148,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
