sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Emprunts FD,A20,20,1,NUMBER,1,CANDIDATE_PARAMETER,HIGH,19,Constante numérique utilisée par 19 formule(s),"#,##0","B18==+B17+1 | B19==+B18+1 | B20==+B19+1 | A21==IF(A20="" "","" "",IF(A20+1>$D$8,"" "",A20+1)) | B21==+B20+1 | A22==IF(A21="" "","" "",IF(A21+1>$D$8,"" "",A21+1)) | B22==+B21+1"
Données SOMIDA,D10,10,4,NUMBER,0.03,CANDIDATE_PARAMETER,HIGH,16,Constante numérique utilisée par 16 formule(s),0.0%,C8=Taux de TVA | E8=0.2 | C10=Glissement USD: | E10=0 | F10=1 | C11=MGA vs USD | E11==+E5 | F11==+$E$11*(1+$D$10)^F10 | C12=MGA vs EUR | E12==+E6 | F12==+$E$12*(1+$D$10)^F10
Données SOMIDA,E20,20,5,NUMBER,20,CANDIDATE_PARAMETER,HIGH,15,Constante numérique utilisée par 15 formule(s),"#,##0.00","C18=TRA COUPE | D18==+E18*12 | E18==+F18*25 | F18==ROUND(+G18*F48,1) | G18=0.4 | C19=ABR COUPE | D19==+E19*12 | E19==+F19*25 | F19==+F48-F18 | G19=0.6 | C20=FP1 COUPE | D20==+E20*12 | F20==+E20/25 | C21=FP2 COUPE | C22=BSA COUPE"
Prestation,C28,28,3,NUMBER,1250000,CANDIDATE_PARAMETER,HIGH,15,Constante numérique utilisée par 15 formule(s),"#,##0.00",B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | D28==+D8*$C$28 | E28==+E8*$C$28 | B29=Total | D29==SUM(D23:D28) | E29==SUM(E23:E28)
Détails Achats direct,D18,18,4,NUMBER,1510,CANDIDATE_PARAMETER,HIGH,14,Constante numérique utilisée par 14 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",C17=Besoins en emballages | C18=Sacs polypropylène | E18=Pr 50 kg | F18==+D18*1.2 | C19=Sacs polyéthylène | D19=1475 | E19=Pr 50 kg | F19==+D19*1.2
 OKB TRA ABR,B22,22,2,NUMBER,110000,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"_-* #,##0\ _€_-;\-* #,##0\ _€_-;_-* ""-""??\ _€_-;_-@_-","A20=Coûts | B20=PU | C20=Quantité | D20=Unité | A21=Redevances et ristournes | B21==$B$9 | C21=0.05 | D21=fft | A22=Droit certificat de conformité | C22==$B$4 | D22=TC | A23=Mise à FOB FD (acquisition TC, Strang) | B23=1250000 | C23==$C$22 | D23=TC | A24=Indemnité agent douanes | B24=100000 | C24=8 | D24=jour"
Données SOMIDA,E71,71,5,NUMBER,200,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00",C70=Distances | E70=Locations | G70=Prix Gaz | C71==+C62 | D71=115 km | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | E72=300 | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250
Données SOMIDA,E72,72,5,NUMBER,300,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00",C70=Distances | E70=Locations | G70=Prix Gaz | C71==+C62 | D71=115 km | E71=200 | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450
Données SOMIDA,E75,75,5,NUMBER,200,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00",C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450 | C75==+C65 | D75=200 km | F75=ar/kg | G75=250 | C76==+C66 | D76=520 km | E76=100 | F76=ar/kg | G76=350
Données SOMIDA,D83,83,4,NUMBER,450,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),General,C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB | C83=FP1 | E83=EUR | F83=FOB | C84=Dr Jane | C85=Fret | D85=968 | E85=USD | F85=/CT
