rule_id,sheet,family,occurrences,pattern,example_cell,example_formula,business_name,business_description,python_function,status
RULE_0451,Détails,MULTIPLICATION,3,=LOCAL_CELL*0.25,C97,=+B97*0.25,,,,TO_REVIEW
RULE_0452,Production,DIVISION,3,=LOCAL_CELL/(LOCAL_CELL+LOCAL_CELL),R23,=+P23/(P23+P30),,,,TO_REVIEW
RULE_0453,Production,MULTIPLICATION,3,=LOCAL_CELL*25,D39,=+C39*25,,,,TO_REVIEW
RULE_0454,Besoins en micas,LOCAL_REFERENCE,3,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLLOCAL_CELLLOCAL_CELL>,F166,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDD970AD0>,,,,TO_REVIEW
RULE_0455,CA,OTHER,3,=AVERAGE(LOCAL_RANGE),Q53,=AVERAGE(C53:N53),,,,TO_REVIEW
RULE_0456,Primes,ARITHMETIC,3,=LOCAL_CELL+LOCAL_CELL,I20,=+H20+G20,,,,TO_REVIEW
RULE_0457,Emprunts FD,AGGREGATION,3,=SUM(LOCAL_RANGE),F110,=+SUM(F14:F109),,,,TO_REVIEW
RULE_0458,FORT DAUPHIN,ARITHMETIC,2,=LOCAL_CELL+LOCAL_CELL,C247,=+C246+L246,,,,TO_REVIEW
RULE_0459,FORT DAUPHIN,DIVISION,2,=LOCAL_CELL/2,G247,=+G246/2,,,,TO_REVIEW
RULE_0460,Données SOMIDA,MULTIPLICATION,2,"=ROUND(+LOCAL_CELL*LOCAL_CELL,1)",F18,"=ROUND(+G18*F48,1)",,,,TO_REVIEW
RULE_0461,Données SOMIDA,CROSS_SHEET_REFERENCE,2,=REF[DÉTAILSACHATSDIRECT],C41,=+'Détails Achats direct'!C18,,,,TO_REVIEW
RULE_0462,Données SOMIDA,PRODUCTION_DEPENDENCY,2,=REF[PRODUCTION],G49,=+Production!R23,,,,TO_REVIEW
RULE_0463,Données SOMIDA,ORDER_DEPENDENCY,2,=REF[COMMANDES],C79,=+Commandes!B28,,,,TO_REVIEW
RULE_0464,Org,MULTIPLICATION,2,=1*0,M69,=1*0,,,,TO_REVIEW
RULE_0465, OKB TRA ABR,ARITHMETIC,2,=LOCAL_CELL+LOCAL_CELL,E44,=E17+E31,,,,TO_REVIEW
RULE_0466,OKB FP1,DIVISION,2,=LOCAL_CELL/1.2,B46,=+B37/1.2,,,,TO_REVIEW
RULE_0467,OKB FP1,ARITHMETIC,2,=LOCAL_CELL+LOCAL_CELL,E46,=E19+E33,,,,TO_REVIEW
RULE_0468,Goodeis,ARITHMETIC,2,=LOCAL_CELL-LOCAL_CELL,D7,=B7-C7,,,,TO_REVIEW
RULE_0469,Goodeis,MULTIPLICATION,2,=LOCAL_CELL*1000,C19,=$B$2*1000,,,,TO_REVIEW
RULE_0470,Goodeis,DIVISION,2,=LOCAL_CELL/3,E57,=E50/3,,,,TO_REVIEW
