sheet,cell,row,column,type,value,number_format,style_id
FORT DAUPHIN,O8,8,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P8,8,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q8,8,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R8,8,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S8,8,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T8,8,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U8,8,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V8,8,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W8,8,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X8,8,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y8,8,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z8,8,26,FORMULA,=+N8/J8,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A9,9,1,NUMBER,100137,General,28
FORT DAUPHIN,B9,9,2,TEXT,LAMBO,General,29
FORT DAUPHIN,C9,9,3,TEXT,Retahie,General,29
FORT DAUPHIN,D9,9,4,TEXT,MANUTENTIONNAIRE,General,29
FORT DAUPHIN,E9,9,5,OTHER,2017-10-03 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G9,9,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H9,9,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I9,9,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J9,9,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K9,9,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L9,9,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M9,9,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N9,9,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,O9,9,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P9,9,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q9,9,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R9,9,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S9,9,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T9,9,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U9,9,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V9,9,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W9,9,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X9,9,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y9,9,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z9,9,26,FORMULA,=+N9/J9,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A10,10,1,NUMBER,100265,General,28
FORT DAUPHIN,B10,10,2,TEXT,RAHERINIAINA,General,29
FORT DAUPHIN,C10,10,3,TEXT,Jochristia,General,29
FORT DAUPHIN,D10,10,4,TEXT,MANUTENTIONNAIRE,General,29
FORT DAUPHIN,E10,10,5,OTHER,2017-04-25 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G10,10,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H10,10,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I10,10,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J10,10,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K10,10,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L10,10,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M10,10,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N10,10,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
