business_code,business_name,category,unit,sheet,cell,value_2024,technical_classification,used_by_formulas,status,context
,,,,Données SOMIDA,D81,425,CANDIDATE_PARAMETER,25,TO_REVIEW,C79==+Commandes!B28 | D79=350 | E79=EUR | F79=FOB | C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB | C83=FP1 | D83=450 | E83=EUR | F83=FOB
,,,,Données SOMIDA,D82,300,CANDIDATE_PARAMETER,25,TO_REVIEW,C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | E82=EUR | F82=FOB | C83=FP1 | D83=450 | E83=EUR | F83=FOB | C84=Dr Jane
,,,,Données SOMIDA,G71,250,CANDIDATE_PARAMETER,25,TO_REVIEW,E70=Locations | G70=Prix Gaz | I70=Croisiere | E71=200 | F71=ar/kg | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg
,,,,Données SOMIDA,G72,100,CANDIDATE_PARAMETER,25,TO_REVIEW,E70=Locations | G70=Prix Gaz | I70=Croisiere | E71=200 | F71=ar/kg | G71=250 | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79
,,,,Données SOMIDA,G74,450,CANDIDATE_PARAMETER,25,TO_REVIEW,E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | G75=250 | H75=Ar/kg | I75==+C80 | E76=100 | F76=ar/kg | G76=350 | H76=Ar/kg
,,,,Données SOMIDA,G75,250,CANDIDATE_PARAMETER,25,TO_REVIEW,E73=300 | F73=ar/kg | G73=250 | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | H75=Ar/kg | I75==+C80 | E76=100 | F76=ar/kg | G76=350 | H76=Ar/kg | I77==+C81
,,,,CA,C43,0.05,CANDIDATE_PARAMETER,24,TO_REVIEW,"B42=Libellés | C42==+C17 | D42==+D17 | E42==+E17 | B43=Produit brut | B44=Produits transformés | C44=0.05 | B45==+B19 | C45==+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44 | D45==+SUMIF($B$18:$B$31,$B$45,D18:D31)*$C$44 | E45==+SUMIF($B$18:$B$31,$B$45,E18:E31)*$C$44"
,,,,Emprunts FD,A20,1,CANDIDATE_PARAMETER,19,TO_REVIEW,"B18==+B17+1 | B19==+B18+1 | B20==+B19+1 | A21==IF(A20="" "","" "",IF(A20+1>$D$8,"" "",A20+1)) | B21==+B20+1 | A22==IF(A21="" "","" "",IF(A21+1>$D$8,"" "",A21+1)) | B22==+B21+1"
,,,,Données SOMIDA,D10,0.03,CANDIDATE_PARAMETER,16,TO_REVIEW,C8=Taux de TVA | E8=0.2 | C10=Glissement USD: | E10=0 | F10=1 | C11=MGA vs USD | E11==+E5 | F11==+$E$11*(1+$D$10)^F10 | C12=MGA vs EUR | E12==+E6 | F12==+$E$12*(1+$D$10)^F10
,,,,Données SOMIDA,E20,20,CANDIDATE_PARAMETER,15,TO_REVIEW,"C18=TRA COUPE | D18==+E18*12 | E18==+F18*25 | F18==ROUND(+G18*F48,1) | G18=0.4 | C19=ABR COUPE | D19==+E19*12 | E19==+F19*25 | F19==+F48-F18 | G19=0.6 | C20=FP1 COUPE | D20==+E20*12 | F20==+E20/25 | C21=FP2 COUPE | C22=BSA COUPE"
,,,,Prestation,C28,1250000,CANDIDATE_PARAMETER,15,TO_REVIEW,B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | D28==+D8*$C$28 | E28==+E8*$C$28 | B29=Total | D29==SUM(D23:D28) | E29==SUM(E23:E28)
